epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,11808.9,0.85077,0.87286,1.23941,0.59169,0.6261,0.66692,0.45889,1.16534,1.34576,1.54735,0.00012625,0.00012625,0.00012625
77,11964,0.83433,0.85705,1.22617,0.64281,0.62647,0.66649,0.439,1.20269,1.50505,1.57435,0.0001246,0.0001246,0.0001246
78,12118.8,0.81964,0.8247,1.21516,0.5424,0.61802,0.63956,0.4223,1.19507,1.39284,1.54439,0.00012295,0.00012295,0.00012295
79,12272.3,0.84032,0.85771,1.22465,0.5785,0.63622,0.65647,0.43509,1.18865,1.34293,1.56824,0.0001213,0.0001213,0.0001213
80,12426.1,0.82468,0.84694,1.21092,0.59156,0.63295,0.66751,0.43844,1.185,1.43962,1.586,0.00011965,0.00011965,0.00011965
81,12582,0.83102,0.82868,1.2163,0.64588,0.60586,0.67199,0.45654,1.18647,1.3681,1.57569,0.000118,0.000118,0.000118
82,12737.6,0.8095,0.81956,1.20431,0.61298,0.66713,0.70138,0.44819,1.20458,1.31314,1.59436,0.00011635,0.00011635,0.00011635
83,12892.5,0.82769,0.8381,1.21958,0.56795,0.67987,0.69752,0.45618,1.16214,1.33616,1.5599,0.0001147,0.0001147,0.0001147
84,13047.3,0.82252,0.83127,1.2142,0.61797,0.67109,0.70922,0.45804,1.18308,1.30473,1.54172,0.00011305,0.00011305,0.00011305
85,13201.5,0.80365,0.82078,1.19598,0.65407,0.62231,0.69724,0.46698,1.15206,1.29247,1.52459,0.0001114,0.0001114,0.0001114
86,13356,0.80353,0.8008,1.20191,0.60729,0.65821,0.70795,0.47976,1.14219,1.33632,1.53461,0.00010975,0.00010975,0.00010975
87,13511,0.80765,0.83066,1.20653,0.57073,0.63555,0.67934,0.44744,1.16567,1.35806,1.54843,0.0001081,0.0001081,0.0001081
88,13666.2,0.78599,0.77089,1.18722,0.57974,0.68638,0.69101,0.46756,1.16133,1.23724,1.56447,0.00010645,0.00010645,0.00010645
89,13821.6,0.79903,0.77346,1.20339,0.56434,0.69786,0.67106,0.46687,1.11499,1.49972,1.50815,0.0001048,0.0001048,0.0001048
90,13976,0.79678,0.7888,1.1969,0.63332,0.661,0.69096,0.46611,1.14683,1.2936,1.51978,0.00010315,0.00010315,0.00010315
91,14130.5,0.79948,0.80591,1.19565,0.64066,0.60451,0.69273,0.47099,1.15513,1.26518,1.55505,0.0001015,0.0001015,0.0001015
92,14285.5,0.79105,0.77057,1.19181,0.67223,0.64254,0.70802,0.47591,1.15739,1.36022,1.55266,9.985e-05,9.985e-05,9.985e-05
93,14440.6,0.79508,0.78588,1.19667,0.58848,0.70598,0.70676,0.47,1.14438,1.28375,1.55221,9.82e-05,9.82e-05,9.82e-05
94,14595.6,0.78879,0.76263,1.18141,0.71595,0.58915,0.7034,0.47079,1.17834,1.28478,1.58039,9.655e-05,9.655e-05,9.655e-05
